skaterFullName,ppPoints,teamAbbrevs,gamesPlayed,shoots,position,ppUnit,vs,avgPowerplayToi,row,date,team_G,team_GA,team_PP%,PPGF,PPG/PG,PPO/PG,PPTOI/PG,PEN,PENMin,team_PEN/GP,PENSeconds/PG,PENDrawn/GP,PPGA,team_PK%,PKTIO/PG,enemy_G,enemy_GA,enemy_PP%,PPGF_enemy,PPG/PG_enemy,PPO/PG_enemy,PPTOI/PG_enemy,PEN_enemy,PENMin_enemy,enemy_PEN/GP,PENSeconds/PG_enemy,PENDrawn/GP_enemy,PPGA_enemy,enemy_PK%,PKTIO/PG_enemy,scored
Jamie Benn,11,DAL,56,L,L,1,NYR,02:22,0,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,1
Thomas Harley,5,DAL,53,L,D,2,NYR,02:02,1,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,0
Miro Heiskanen,11,DAL,45,L,D,1,NYR,03:32,2,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,1
Roope Hintz,13,DAL,54,L,C,1,NYR,02:34,3,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,0
Wyatt Johnston,7,DAL,56,R,C,,NYR,02:19,4,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,0
Joe Pavelski,14,DAL,56,R,C,1,NYR,02:33,5,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,1
Jason Robertson,18,DAL,56,L,L,1,NYR,02:51,6,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,0
Tyler Seguin,6,DAL,56,R,C,2,NYR,02:17,7,2024-02-20,209.0,169.0,0.22981,37.0,0.66071,2.875,265.946428,181.0,393.0,3.18718,421.0,3.134354,31.0,0.81976,297.071428,184,154,0.26627,45,0.81818,3.07272,290.127272,200,468,3.599244,510,3.977164,27,0.82467,277.363636,0
Adam Fox,23,NYR,45,R,D,1,DAL,03:43,8,2024-02-20,184.0,154.0,0.26627,45.0,0.81818,3.07272,290.127272,200.0,468.0,3.599244,510.0,3.977164,27.0,0.82467,277.363636,209,169,0.22981,37,0.66071,2.875,265.946428,181,393,3.18718,421,3.134354,31,0.81976,297.071428,0
Chris Kreider,18,NYR,55,L,L,1,DAL,03:41,9,2024-02-20,184.0,154.0,0.26627,45.0,0.81818,3.07272,290.127272,200.0,468.0,3.599244,510.0,3.977164,27.0,0.82467,277.363636,209,169,0.22981,37,0.66071,2.875,265.946428,181,393,3.18718,421,3.134354,31,0.81976,297.071428,0
Artemi Panarin,31,NYR,55,R,L,1,DAL,03:58,10,2024-02-20,184.0,154.0,0.26627,45.0,0.81818,3.07272,290.127272,200.0,468.0,3.599244,510.0,3.977164,27.0,0.82467,277.363636,209,169,0.22981,37,0.66071,2.875,265.946428,181,393,3.18718,421,3.134354,31,0.81976,297.071428,0
Vincent Trocheck,19,NYR,55,R,C,1,DAL,03:32,11,2024-02-20,184.0,154.0,0.26627,45.0,0.81818,3.07272,290.127272,200.0,468.0,3.599244,510.0,3.977164,27.0,0.82467,277.363636,209,169,0.22981,37,0.66071,2.875,265.946428,181,393,3.18718,421,3.134354,31,0.81976,297.071428,0
Mika Zibanejad,22,NYR,54,R,C,1,DAL,03:33,12,2024-02-20,184.0,154.0,0.26627,45.0,0.81818,3.07272,290.127272,200.0,468.0,3.599244,510.0,3.977164,27.0,0.82467,277.363636,209,169,0.22981,37,0.66071,2.875,265.946428,181,393,3.18718,421,3.134354,31,0.81976,297.071428,0
Jesper Bratt,21,NJD,54,L,L,1,WSH,04:48,13,2024-02-20,183.0,184.0,0.22891,38.0,0.7037,3.07407,288.833333,199.0,436.0,3.657752,484.0,3.62099,35.0,0.79166,300.666666,128,163,0.15753,23,0.43396,2.75471,286.566037,192,441,3.560977,499,3.301323,33,0.79754,301.830188,0
Nico Hischier,9,NJD,43,L,C,1,WSH,04:37,14,2024-02-20,183.0,184.0,0.22891,38.0,0.7037,3.07407,288.833333,199.0,436.0,3.657752,484.0,3.62099,35.0,0.79166,300.666666,128,163,0.15753,23,0.43396,2.75471,286.566037,192,441,3.560977,499,3.301323,33,0.79754,301.830188,0
